cellid,x,y,celltype,nearest_B_id,nearest_B_dist,B_count_within_R,radius
3,44.5568,63.3408,A,72251,0.0986882,24,1
4,38.8236,57.2732,A,37529,0.161018,21,1
7,49.2617,34.585,A,4612,0.354014,17,1
9,80.0984,47.1156,A,65425,0.297558,25,1
12,4.1718,28.8182,A,47169,0.167068,17,1
13,76.9458,15.1493,A,87595,0.159002,29,1
14,0.317112,73.7231,A,67296,0.0490168,14,1
17,91.3027,90.6841,A,90724,0.180775,24,1
18,30.0115,96.6009,A,31226,0.272811,17,1
28,15.4745,47.3586,A,83187,0.296994,21,1
29,1.46274,46.8312,A,59799,0.192252,28,1
30,32.4243,71.6911,A,72066,0.192856,19,1
36,46.8899,61.8592,A,52438,0.041506,26,1
55,93.787,75.9611,A,21567,0.105247,36,1
56,95.9087,37.7386,A,18780,0.128462,23,1
61,66.9898,44.9337,A,55942,0.0654201,19,1
62,37.6268,85.2018,A,701,0.199159,22,1
64,66.7073,10.5548,A,89668,0.108589,27,1
74,78.3364,59.5902,A,8146,0.21768,25,1
79,23.8768,77.8593,A,35098,0.0626144,18,1
80,85.7108,51.3486,A,59725,0.11741,27,1
81,5.04604,71.8889,A,20225,0.282599,17,1
85,35.9102,14.9252,A,22553,0.225957,22,1
86,14.5164,12.0104,A,87474,0.148635,25,1
88,9.7788,68.5135,A,2544,0.0325014,25,1
89,15.1685,85.7783,A,47165,0.0817628,24,1
90,14.452,77.2398,A,13573,0.364222,12,1
93,67.6194,43.7103,A,22046,0.268523,22,1
95,12.4875,3.4487,A,59009,0.166834,21,1
98,27.1898,1.58057,A,24737,0.0670495,20,1
100,36.6015,57.0658,A,8022,0.161624,25,1
103,16.6716,43.0318,A,60760,0.112091,25,1
105,97.4122,96.1775,A,72265,0.228576,23,1
111,84.7581,38.9325,A,26665,0.263794,25,1
118,95.7393,35.4806,A,63842,0.24029,24,1
119,12.3123,53.1665,A,73036,0.174451,19,1
131,49.0433,38.7689,A,84567,0.35407,25,1
136,26.3988,46.7326,A,10530,0.0926326,21,1
138,49.8745,61.0635,A,74597,0.278708,18,1
139,92.6763,33.0432,A,24035,0.20714,15,1
142,26.1019,79.9926,A,83031,0.116059,30,1
145,6.19253,83.2032,A,35438,0.366007,20,1
149,3.52223,83.1071,A,68283,0.167058,17,1
152,4.6649,16.4726,A,42039,0.187713,17,1
153,17.7668,58.5175,A,34664,0.364082,23,1
157,85.0378,81.0717,A,20034,0.168104,18,1
158,86.5049,32.0964,A,60712,0.33616,11,1
164,61.7966,37.2769,A,91285,0.175119,23,1
165,71.8823,2.44659,A,56888,0.409285,13,1
170,37.3851,49.9676,A,99616,0.306505,13,1
177,72.9317,37.4134,A,2373,0.112874,27,1
178,70.9024,94.0332,A,13939,0.144201,19,1
180,67.0014,30.646,A,801,0.0750389,31,1
187,99.3776,16.164,A,88161,0.0292906,30,1
191,79.5558,78.2084,A,29045,0.28933,22,1
197,87.5683,98.2191,A,77291,0.139933,25,1
199,41.2293,19.8453,A,24132,0.0700233,31,1
203,24.0283,1.25151,A,16168,0.147809,27,1
208,18.2304,5.48236,A,31397,0.261457,20,1
214,66.6116,34.4709,A,95383,0.338808,20,1
215,83.773,80.9068,A,22557,0.235105,16,1
217,92.1059,44.0344,A,52689,0.220181,18,1
218,9.95161,68.8422,A,28598,0.210407,26,1
222,46.9404,88.4749,A,17349,0.213974,18,1
227,50.8767,96.7056,A,90842,0.191313,15,1
230,25.9307,75.7936,A,70707,0.252535,27,1
233,23.4642,10.712,A,59165,0.196667,31,1
236,30.1412,8.43979,A,13610,0.178248,26,1
242,73.9119,9.64746,A,86320,0.164658,23,1
243,65.667,9.96832,A,72609,0.204815,18,1
244,29.9487,55.494,A,26731,0.234349,20,1
246,36.1298,96.8719,A,33241,0.147609,19,1
247,8.36127,47.9914,A,95148,0.145304,21,1
249,67.7478,98.4189,A,96573,0.158238,29,1
253,86.7568,76.1686,A,42192,0.152654,29,1
254,32.0635,54.7123,A,85851,0.0384839,17,1
258,85.309,28.6471,A,53748,0.357717,27,1
259,52.7379,56.6957,A,46716,0.332379,27,1
262,74.3851,48.3667,A,16925,0.0699769,25,1
263,74.8588,87.3787,A,47150,0.201707,19,1
265,71.7231,59.3255,A,13287,0.275507,18,1
270,48.4277,28.8385,A,66371,0.109759,34,1
272,70.0742,19.3954,A,82738,0.13352,14,1
273,33.0041,23.8431,A,24062,0.25027,22,1
286,4.67496,15.6767,A,27889,0.225768,29,1
289,14.6921,13.3197,A,47497,0.247871,23,1
291,30.899,24.3815,A,62854,0.171234,25,1
295,20.5471,78.1534,A,42188,0.355621,25,1
298,55.2906,13.7028,A,76846,0.107282,26,1
299,28.1484,24.9483,A,94308,0.163794,30,1
300,31.6366,4.28417,A,35556,0.311347,26,1
302,37.978,13.39,A,27666,0.313284,25,1
307,62.4133,46.5152,A,22488,0.150286,22,1
313,90.3766,30.51,A,98604,0.074094,20,1
314,85.524,8.30127,A,42860,0.185003,19,1
315,9.73624,48.9108,A,14103,0.274352,27,1
318,20.6866,34.2255,A,6438,0.175472,20,1
322,84.4883,48.8165,A,38218,0.219009,25,1
329,62.9952,94.7854,A,96795,0.0859451,18,1
331,34.8776,92.8147,A,10291,0.3482,20,1
333,6.11213,59.4403,A,21799,0.268438,17,1
339,30.8519,22.9001,A,53460,0.168839,28,1
